Designation In English,المسمى الوظيفي بالإنجليزي
Please select Start Date and End Date for Item {0},الرجاء تحديد تاريخ البدء وتاريخ الانتهاء للصنف {0}
Please mention no of visits required,يرجى ذكر عدد الزيارات المطلوبة
Row #{0}: Posting Date must be same as purchase date {1} of asset {2},الصف # {0}: يجب ان يكون تاريخ الإنشاء هو نفس تاريخ الشراء {1} للأصل {2}
Please select Incharge Person's name,الرجاء تحديد اسم الشخص المسؤول
Standard Sidebar Menu,قائمة الشريط الجانبي الرئيسية
Start date should be less than end date for Item {0},يجب أن يكون تاريخ البدء أقل من تاريخ الانتهاء للصنف {0}
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},الصف # {0}: لا يمكن انشاء فاتورة الشراء مقابل الأصل الموجود {1}
Custom Sidebar Menu,قائمة الشريط الجانبي المخصص
Restore to default settings?,استعادة الإعدادات الافتراضية؟
Maintenance Schedule {0} exists against {0},جدول الصيانة {0} موجود مقابل {0}
Serial No {0} not found,لم يتم العثور علي الرقم التسلسلي {0}
Serial No {0} is under warranty upto {1},الرقم التسلسلي {0} تحت الضمان حتى {1}
Serial No {0} is under maintenance contract upto {1},الرقم التسلسلي {0} يتبع عقد الصيانة حتى {1}
Company Description for website homepage,وصف الشركة للموقع الرئيسي
"Higher the number, higher the priority",كلما زادت قمية الرقم كلما زادت الاولوية
Maintenance start date can not be before delivery date for Serial No {0},تاريخ بدء الصيانة لا يمكن أن يكون قبل تاريخ التسليم للرقم التسلسلي {0}
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',لم يتم إنشاء جدول الصيانة لكافة العناصر. الرجاء الضغط علي ` إنشاء جدول `
Payment Success Url,رابط نجاح الدفع
Please click on 'Generate Schedule',الرجاء الضغط علي ` إنشاء جدول `
Queued for backup. It may take a few minutes to an hour.,قائمة الانتظار للنسخ الاحتياطي. قد يستغرق الأمر بضع دقائق إلى ساعة.
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},الرجاء الضغط علي `إنشاء جدول` لجلب الرقم التسلسلي المضاف للصنف {0}
"If selected Pricing Rule is made for 'Price', it will overwrite Price List. Pricing Rule price is the final price, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",إذا تم تحديد قاعده التسعير ل ' السعر ' ، فانها ستقوم بالكتابة فوق قائمه الأسعار. سعر قاعده التسعير هو السعر النهائي ، لذلك لا ينبغي تطبيق اي خصم آخر. وبالتالي ، في المعاملات مثل أمر التوريد ، وأمر الشراء وما إلى ذلك ، فانه سيتم جلبه في الحقل ' معدل ' ، بدلا من حقل ' سعر قائمه الأسعار '
Discount Percentage can be applied either against a Price List or for all Price List.,نسبة الخصم ممكن أن تطبق على قائمة الأسعار أو على جميع قوائم الأسعار
Max working hours against Timesheet,ساعات العمل القصوى ضد الجدول الزمني
Seems ldap is not installed on system,يبدو لم يتم تثبيت ldap على النظام
'Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ` تحديث المخزون ` لبيع الأصول الثابتة
Goals cannot be empty,الأهداف لا يمكن أن تكون فارغة
"Row #{0}: Asset {1} cannot be submitted, it is already {2}",الصف # {0}: لا يمكن اعتماد الأصل {1} ، وهو بالفعل {2}
Employee {0} on Half day on {1},الموظف {0} في نصف يوم في {1}
Consider Tax or Charge for,النظر في الضرائب ورسوم الشحن
Employee {0} on Leave on {1},الموظف {0} في اجازه في {1}
No leave record found for employee {0} for {1},لم يتم العثور على سجل إجازات للموظف {0} ل {1}
Company is missing in warehouses {0},الشركة مفقودة للمستودع {0}
Attendance date can not be less than employee's joining date,تاريخ الحضور لا يمكن أن يكون أقل من تاريخ التحاق الموظف
User {0} is already assigned to Employee {1},تم تعيين المستخدم {0} بالفعل إلى الموظف {1}
Seems API Key or API Secret is wrong !!!,يبدو مفتاح API أو API السري خاطئ!
Please enter,الرجاء إدخال
Birthday Reminder for {0},تذكير عيد ميلاد {0}
Today is {0}'s birthday!,اليوم عيد ميلاد {0} !
Account {0}: Parent account {1} does not exist,الحساب {0}: الحساب الأب {1} غير موجود
Leave and Attendance,اﻹجازات والحضور
This is based on the attendance of this Employee,هذا يستند على حضور الموظف
Subject: Birthday Reminder for {0},الموضوع: تذكير عيد ميلاد ل {0}
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,سيتم تحديث حساب البنك / النقدي الافتراضي تلقائيا في فاتورة نقاط البيع عند تحديد هذا الوضع.
Year End Date,تاريخ نهاية السنة
Number Format,تنسيق الأرقام
Please enter Repayment Periods,الرجاء إدخال فترات السداد
Cannot set as Lost as Sales Order is made,لا يمكن وضعها كمفقودة لانه تم عمل أمر بيع لهذه التسعيرة
Rate of Interest (%) / Year,نسبة الفائدة (٪) / السنة
Make Disbursement Entry,إدخال دفتر اليومية
Parent Warehouse,المستودع الأساسي
Against Employee Loan: {0},مقابل قرض الموظف: {0}
Account {0}: Parent account {1} can not be a ledger,الحساب {0}: لا يمكن للحساب الأب {1} ان يكون دفتر الأستاذ
Account {0}: You can not assign itself as parent account,الحساب {0}: لا يمكنك تعيين نفسه كحساب أب
Please create Customer from Lead {0},الرجاء انشاء عميل من مبادرة البيع {0}
UOM Name,إسم وحدة القياس
Disbursed Amount cannot be greater than Loan Amount {0},المبلغ المدفوع لا يمكن أن يكون أكبر من مبلغ القرض {0}
Account {0}: Parent account {1} does not belong to company: {2},الحساب {0}: الحساب الأب {1} لا ينتمي للشركة {2}
Root cannot be edited.,الجذر لا يمكن تعديله
Please enter repayment Amount,الرجاء إدخال مبلغ السداد
Root Account must be a group,الحساب الجذر يجب أن يكون مجموعة
Monthly Repayment Amount cannot be greater than Loan Amount,مبلغ السداد الشهري لا يمكن أن يكون أكبر من مبلغ القرض
Account with existing transaction cannot be converted to ledger,لا يمكن تحويل الحساب مع الحركة الموجودة إلى دفتر الأستاذ
Transaction,حركة
Task Weight,وزن المهمة
Cannot covert to Group because Account Type is selected.,لا يمكن تغيير لمجموعة بسبب أنه تم تحديد نوع الحساب.
Loan Amount cannot exceed Maximum Loan Amount of {0},مبلغ القرض لا يمكن أن يتجاوز الحد الأقصى للقرض {0}
Account with child nodes cannot be set as ledger,الحساب لديه حسابات فرعية لا يمكن إضافته لدفتر الأستاذ.
You are not authorized to set Frozen value,لا تمتلك صلاحية لتعديل القيمة المجمدة
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",رصيد الحساب بالفعل مدين ، لا يسمح لك لتعيين ` الرصيد يجب ان يكون ` ك ` دائن`
